,year,vintage,type,dwellings
821,1871,2006-2010,apartments,0
822,1871,2006-2010,mobile,0
823,1871,2006-2010,single_attached,0
824,1871,2006-2010,single_detached,0
825,1871,2011-2015,total,0
826,1871,2011-2015,apartments,0
827,1871,2011-2015,mobile,0
828,1871,2011-2015,single_attached,0
829,1871,2011-2015,single_detached,0
830,1871,2016-2020,total,0
831,1871,2016-2020,apartments,0
832,1871,2016-2020,mobile,0
833,1871,2016-2020,single_attached,0
834,1871,2016-2020,single_detached,0
835,1871,2021-2025,total,0
836,1871,2021-2025,apartments,0
837,1871,2021-2025,mobile,0
838,1871,2021-2025,single_attached,0
839,1871,2021-2025,single_detached,0
840,1881,0-2025,total,216432
841,1881,0-2025,apartments,91903
842,1881,0-2025,mobile,530
843,1881,0-2025,single_attached,14749
844,1881,0-2025,single_detached,109250
845,1881,1608-1920,total,216432
846,1881,1608-1920,apartments,91903
847,1881,1608-1920,mobile,530
848,1881,1608-1920,single_attached,14749
849,1881,1608-1920,single_detached,109250
850,1881,1921-1945,total,0
851,1881,1921-1945,apartments,0
852,1881,1921-1945,mobile,0
853,1881,1921-1945,single_attached,0
854,1881,1921-1945,single_detached,0
855,1881,1946-1960,total,0
856,1881,1946-1960,apartments,0
857,1881,1946-1960,mobile,0
858,1881,1946-1960,single_attached,0
859,1881,1946-1960,single_detached,0
860,1881,1961-1970,total,0
861,1881,1961-1970,apartments,0
862,1881,1961-1970,mobile,0
863,1881,1961-1970,single_attached,0
864,1881,1961-1970,single_detached,0
865,1881,1971-1980,total,0
866,1881,1971-1980,apartments,0
867,1881,1971-1980,mobile,0
868,1881,1971-1980,single_attached,0
869,1881,1971-1980,single_detached,0
870,1881,1981-1990,total,0
871,1881,1981-1990,apartments,0
872,1881,1981-1990,mobile,0
873,1881,1981-1990,single_attached,0
874,1881,1981-1990,single_detached,0
875,1881,1991-1995,total,0
876,1881,1991-1995,apartments,0
877,1881,1991-1995,mobile,0
878,1881,1991-1995,single_attached,0
879,1881,1991-1995,single_detached,0
880,1881,1996-2000,total,0
881,1881,1996-2000,apartments,0
882,1881,1996-2000,mobile,0
883,1881,1996-2000,single_attached,0
884,1881,1996-2000,single_detached,0
885,1881,2001-2005,total,0
886,1881,2001-2005,apartments,0
887,1881,2001-2005,mobile,0
888,1881,2001-2005,single_attached,0
889,1881,2001-2005,single_detached,0
890,1881,2006-2010,total,0
891,1881,2006-2010,apartments,0
892,1881,2006-2010,mobile,0
893,1881,2006-2010,single_attached,0
894,1881,2006-2010,single_detached,0
895,1881,2011-2015,total,0
896,1881,2011-2015,apartments,0
897,1881,2011-2015,mobile,0
898,1881,2011-2015,single_attached,0
899,1881,2011-2015,single_detached,0
900,1881,2016-2020,total,0
901,1881,2016-2020,apartments,0
902,1881,2016-2020,mobile,0
903,1881,2016-2020,single_attached,0
904,1881,2016-2020,single_detached,0
905,1881,2021-2025,total,0
906,1881,2021-2025,apartments,0
907,1881,2021-2025,mobile,0
908,1881,2021-2025,single_attached,0
909,1881,2021-2025,single_detached,0
910,1891,0-2025,total,246644
911,1891,0-2025,apartments,104732
912,1891,0-2025,mobile,604
913,1891,0-2025,single_attached,16808
914,1891,0-2025,single_detached,124500
915,1891,1608-1920,total,246644
916,1891,1608-1920,apartments,104732
917,1891,1608-1920,mobile,604
918,1891,1608-1920,single_attached,16808
919,1891,1608-1920,single_detached,124500
920,1891,1921-1945,total,0
921,1891,1921-1945,apartments,0
922,1891,1921-1945,mobile,0
923,1891,1921-1945,single_attached,0
924,1891,1921-1945,single_detached,0
925,1891,1946-1960,total,0
926,1891,1946-1960,apartments,0
927,1891,1946-1960,mobile,0
928,1891,1946-1960,single_attached,0
929,1891,1946-1960,single_detached,0
930,1891,1961-1970,total,0
931,1891,1961-1970,apartments,0
932,1891,1961-1970,mobile,0
933,1891,1961-1970,single_attached,0
934,1891,1961-1970,single_detached,0
935,1891,1971-1980,total,0
936,1891,1971-1980,apartments,0
937,1891,1971-1980,mobile,0
938,1891,1971-1980,single_attached,0
939,1891,1971-1980,single_detached,0
940,1891,1981-1990,total,0
941,1891,1981-1990,apartments,0
942,1891,1981-1990,mobile,0
943,1891,1981-1990,single_attached,0
944,1891,1981-1990,single_detached,0
945,1891,1991-1995,total,0
946,1891,1991-1995,apartments,0
947,1891,1991-1995,mobile,0
948,1891,1991-1995,single_attached,0
949,1891,1991-1995,single_detached,0
950,1891,1996-2000,total,0
951,1891,1996-2000,apartments,0
952,1891,1996-2000,mobile,0
953,1891,1996-2000,single_attached,0
954,1891,1996-2000,single_detached,0
955,1891,2001-2005,total,0
956,1891,2001-2005,apartments,0
957,1891,2001-2005,mobile,0
958,1891,2001-2005,single_attached,0
959,1891,2001-2005,single_detached,0
960,1891,2006-2010,total,0
961,1891,2006-2010,apartments,0
962,1891,2006-2010,mobile,0
963,1891,2006-2010,single_attached,0
964,1891,2006-2010,single_detached,0
965,1891,2011-2015,total,0
966,1891,2011-2015,apartments,0
967,1891,2011-2015,mobile,0
968,1891,2011-2015,single_attached,0
969,1891,2011-2015,single_detached,0
970,1891,2016-2020,total,0
971,1891,2016-2020,apartments,0
972,1891,2016-2020,mobile,0
973,1891,2016-2020,single_attached,0
974,1891,2016-2020,single_detached,0
975,1891,2021-2025,total,0
976,1891,2021-2025,apartments,0
977,1891,2021-2025,mobile,0
978,1891,2021-2025,single_attached,0
979,1891,2021-2025,single_detached,0
980,1901,0-2025,total,291427
981,1901,0-2025,apartments,123748
982,1901,0-2025,mobile,714
983,1901,0-2025,single_attached,19860
984,1901,0-2025,single_detached,147105
985,1901,1608-1920,total,291427
986,1901,1608-1920,apartments,123748
987,1901,1608-1920,mobile,714
988,1901,1608-1920,single_attached,19860
989,1901,1608-1920,single_detached,147105
990,1901,1921-1945,total,0
991,1901,1921-1945,apartments,0
992,1901,1921-1945,mobile,0
993,1901,1921-1945,single_attached,0
994,1901,1921-1945,single_detached,0
995,1901,1946-1960,total,0
996,1901,1946-1960,apartments,0
997,1901,1946-1960,mobile,0
998,1901,1946-1960,single_attached,0
999,1901,1946-1960,single_detached,0
1000,1901,1961-1970,total,0
1001,1901,1961-1970,apartments,0
1002,1901,1961-1970,mobile,0
1003,1901,1961-1970,single_attached,0
1004,1901,1961-1970,single_detached,0
1005,1901,1971-1980,total,0
1006,1901,1971-1980,apartments,0
1007,1901,1971-1980,mobile,0
1008,1901,1971-1980,single_attached,0
1009,1901,1971-1980,single_detached,0
1010,1901,1981-1990,total,0
1011,1901,1981-1990,apartments,0
1012,1901,1981-1990,mobile,0
1013,1901,1981-1990,single_attached,0
1014,1901,1981-1990,single_detached,0
1015,1901,1991-1995,total,0
1016,1901,1991-1995,apartments,0
1017,1901,1991-1995,mobile,0
1018,1901,1991-1995,single_attached,0
1019,1901,1991-1995,single_detached,0
1020,1901,1996-2000,total,0
1021,1901,1996-2000,apartments,0
1022,1901,1996-2000,mobile,0
1023,1901,1996-2000,single_attached,0
1024,1901,1996-2000,single_detached,0
1025,1901,2001-2005,total,0
1026,1901,2001-2005,apartments,0
1027,1901,2001-2005,mobile,0
1028,1901,2001-2005,single_attached,0
1029,1901,2001-2005,single_detached,0
1030,1901,2006-2010,total,0
1031,1901,2006-2010,apartments,0
1032,1901,2006-2010,mobile,0
1033,1901,2006-2010,single_attached,0
1034,1901,2006-2010,single_detached,0
1035,1901,2011-2015,total,0
1036,1901,2011-2015,apartments,0
1037,1901,2011-2015,mobile,0
1038,1901,2011-2015,single_attached,0
1039,1901,2011-2015,single_detached,0
1040,1901,2016-2020,total,0
1041,1901,2016-2020,apartments,0
1042,1901,2016-2020,mobile,0
1043,1901,2016-2020,single_attached,0
1044,1901,2016-2020,single_detached,0
1045,1901,2021-2025,total,0
1046,1901,2021-2025,apartments,0
1047,1901,2021-2025,mobile,0
1048,1901,2021-2025,single_attached,0
1049,1901,2021-2025,single_detached,0
1050,1911,0-2025,total,340196
1051,1911,0-2025,apartments,144457
1052,1911,0-2025,mobile,833
1053,1911,0-2025,single_attached,23183
1054,1911,0-2025,single_detached,171723
1055,1911,1608-1920,total,340196
1056,1911,1608-1920,apartments,144457
1057,1911,1608-1920,mobile,833
1058,1911,1608-1920,single_attached,23183
1059,1911,1608-1920,single_detached,171723
1060,1911,1921-1945,total,0
1061,1911,1921-1945,apartments,0
1062,1911,1921-1945,mobile,0
1063,1911,1921-1945,single_attached,0
1064,1911,1921-1945,single_detached,0
1065,1911,1946-1960,total,0
1066,1911,1946-1960,apartments,0
1067,1911,1946-1960,mobile,0
1068,1911,1946-1960,single_attached,0
1069,1911,1946-1960,single_detached,0
1070,1911,1961-1970,total,0
1071,1911,1961-1970,apartments,0
1072,1911,1961-1970,mobile,0
1073,1911,1961-1970,single_attached,0
1074,1911,1961-1970,single_detached,0
1075,1911,1971-1980,total,0
1076,1911,1971-1980,apartments,0
1077,1911,1971-1980,mobile,0
1078,1911,1971-1980,single_attached,0
1079,1911,1971-1980,single_detached,0
1080,1911,1981-1990,total,0
1081,1911,1981-1990,apartments,0
1082,1911,1981-1990,mobile,0
1083,1911,1981-1990,single_attached,0
1084,1911,1981-1990,single_detached,0
1085,1911,1991-1995,total,0
1086,1911,1991-1995,apartments,0
1087,1911,1991-1995,mobile,0
1088,1911,1991-1995,single_attached,0
1089,1911,1991-1995,single_detached,0
1090,1911,1996-2000,total,0
1091,1911,1996-2000,apartments,0
1092,1911,1996-2000,mobile,0
1093,1911,1996-2000,single_attached,0
1094,1911,1996-2000,single_detached,0
1095,1911,2001-2005,total,0
1096,1911,2001-2005,apartments,0
1097,1911,2001-2005,mobile,0
1098,1911,2001-2005,single_attached,0
1099,1911,2001-2005,single_detached,0
1100,1911,2006-2010,total,0
1101,1911,2006-2010,apartments,0
1102,1911,2006-2010,mobile,0
1103,1911,2006-2010,single_attached,0
1104,1911,2006-2010,single_detached,0
1105,1911,2011-2015,total,0
1106,1911,2011-2015,apartments,0
1107,1911,2011-2015,mobile,0
1108,1911,2011-2015,single_attached,0
1109,1911,2011-2015,single_detached,0
1110,1911,2016-2020,total,0
1111,1911,2016-2020,apartments,0
1112,1911,2016-2020,mobile,0
1113,1911,2016-2020,single_attached,0
1114,1911,2016-2020,single_detached,0
1115,1911,2021-2025,total,0
1116,1911,2021-2025,apartments,0
1117,1911,2021-2025,mobile,0
1118,1911,2021-2025,single_attached,0
1119,1911,2021-2025,single_detached,0
1120,1921,0-2025,total,398267
1121,1921,0-2025,apartments,169115
1122,1921,0-2025,mobile,976
1123,1921,0-2025,single_attached,27140
1124,1921,0-2025,single_detached,201036
1125,1921,1608-1920,total,387708
1126,1921,1608-1920,apartments,164098
1127,1921,1608-1920,mobile,814
1128,1921,1608-1920,single_attached,26565
1129,1921,1608-1920,single_detached,196229
1130,1921,1921-1945,total,10559
1131,1921,1921-1945,apartments,5016
1132,1921,1921-1945,mobile,161
1133,1921,1921-1945,single_attached,574
1134,1921,1921-1945,single_detached,4806
1135,1921,1946-1960,total,0
1136,1921,1946-1960,apartments,0
1137,1921,1946-1960,mobile,0
1138,1921,1946-1960,single_attached,0
1139,1921,1946-1960,single_detached,0
1140,1921,1961-1970,total,0
1141,1921,1961-1970,apartments,0
1142,1921,1961-1970,mobile,0
1143,1921,1961-1970,single_attached,0
1144,1921,1961-1970,single_detached,0
1145,1921,1971-1980,total,0
1146,1921,1971-1980,apartments,0
1147,1921,1971-1980,mobile,0
1148,1921,1971-1980,single_attached,0
1149,1921,1971-1980,single_detached,0
1150,1921,1981-1990,total,0
1151,1921,1981-1990,apartments,0
1152,1921,1981-1990,mobile,0
1153,1921,1981-1990,single_attached,0
1154,1921,1981-1990,single_detached,0
1155,1921,1991-1995,total,0
1156,1921,1991-1995,apartments,0
1157,1921,1991-1995,mobile,0
1158,1921,1991-1995,single_attached,0
1159,1921,1991-1995,single_detached,0
1160,1921,1996-2000,total,0
1161,1921,1996-2000,apartments,0
1162,1921,1996-2000,mobile,0
1163,1921,1996-2000,single_attached,0
1164,1921,1996-2000,single_detached,0
1165,1921,2001-2005,total,0
1166,1921,2001-2005,apartments,0
1167,1921,2001-2005,mobile,0
1168,1921,2001-2005,single_attached,0
1169,1921,2001-2005,single_detached,0
1170,1921,2006-2010,total,0
1171,1921,2006-2010,apartments,0
1172,1921,2006-2010,mobile,0
1173,1921,2006-2010,single_attached,0
1174,1921,2006-2010,single_detached,0
1175,1921,2011-2015,total,0
1176,1921,2011-2015,apartments,0
1177,1921,2011-2015,mobile,0
1178,1921,2011-2015,single_attached,0
1179,1921,2011-2015,single_detached,0
1180,1921,2016-2020,total,0
1181,1921,2016-2020,apartments,0
1182,1921,2016-2020,mobile,0
1183,1921,2016-2020,single_attached,0
1184,1921,2016-2020,single_detached,0
1185,1921,2021-2025,total,0
1186,1921,2021-2025,apartments,0
1187,1921,2021-2025,mobile,0
1188,1921,2021-2025,single_attached,0
1189,1921,2021-2025,single_detached,0
1190,1931,0-2025,total,536383
1191,1931,0-2025,apartments,227763
1192,1931,0-2025,mobile,1314
1193,1931,0-2025,single_attached,36553
1194,1931,0-2025,single_detached,270753
1195,1931,1608-1920,total,412720
1196,1931,1608-1920,apartments,170012
1197,1931,1608-1920,mobile,410
1198,1931,1608-1920,single_attached,29473
1199,1931,1608-1920,single_detached,212822
1200,1931,1921-1945,total,123663
1201,1931,1921-1945,apartments,57750
1202,1931,1921-1945,mobile,903
1203,1931,1921-1945,single_attached,7079
1204,1931,1921-1945,single_detached,57930
1205,1931,1946-1960,total,0
1206,1931,1946-1960,apartments,0
1207,1931,1946-1960,mobile,0
1208,1931,1946-1960,single_attached,0
1209,1931,1946-1960,single_detached,0
1210,1931,1961-1970,total,0
1211,1931,1961-1970,apartments,0
1212,1931,1961-1970,mobile,0
1213,1931,1961-1970,single_attached,0
1214,1931,1961-1970,single_detached,0
1215,1931,1971-1980,total,0
1216,1931,1971-1980,apartments,0
1217,1931,1971-1980,mobile,0
1218,1931,1971-1980,single_attached,0
1219,1931,1971-1980,single_detached,0
1220,1931,1981-1990,total,0
1221,1931,1981-1990,apartments,0
1222,1931,1981-1990,mobile,0
1223,1931,1981-1990,single_attached,0
1224,1931,1981-1990,single_detached,0
1225,1931,1991-1995,total,0
1226,1931,1991-1995,apartments,0
1227,1931,1991-1995,mobile,0
1228,1931,1991-1995,single_attached,0
1229,1931,1991-1995,single_detached,0
1230,1931,1996-2000,total,0
1231,1931,1996-2000,apartments,0
1232,1931,1996-2000,mobile,0
1233,1931,1996-2000,single_attached,0
1234,1931,1996-2000,single_detached,0
1235,1931,2001-2005,total,0
1236,1931,2001-2005,apartments,0
1237,1931,2001-2005,mobile,0
1238,1931,2001-2005,single_attached,0
1239,1931,2001-2005,single_detached,0
1240,1931,2006-2010,total,0
1241,1931,2006-2010,apartments,0
1242,1931,2006-2010,mobile,0
1243,1931,2006-2010,single_attached,0
1244,1931,2006-2010,single_detached,0
1245,1931,2011-2015,total,0
1246,1931,2011-2015,apartments,0
1247,1931,2011-2015,mobile,0
1248,1931,2011-2015,single_attached,0
1249,1931,2011-2015,single_detached,0
1250,1931,2016-2020,total,0
1251,1931,2016-2020,apartments,0
1252,1931,2016-2020,mobile,0
1253,1931,2016-2020,single_attached,0
1254,1931,2016-2020,single_detached,0
1255,1931,2021-2025,total,0
1256,1931,2021-2025,apartments,0
1257,1931,2021-2025,mobile,0
1258,1931,2021-2025,single_attached,0
1259,1931,2021-2025,single_detached,0
1260,1941,0-2025,total,644529
1261,1941,0-2025,apartments,295985
1262,1941,0-2025,mobile,1305
1263,1941,0-2025,single_attached,49336
1264,1941,0-2025,single_detached,297903
1265,1941,1608-1920,total,410000
1266,1941,1608-1920,apartments,179712
1267,1941,1608-1920,mobile,251
1268,1941,1608-1920,single_attached,33849
1269,1941,1608-1920,single_detached,196187
1270,1941,1921-1945,total,234529
1271,1941,1921-1945,apartments,116272
1272,1941,1921-1945,mobile,1053
1273,1941,1921-1945,single_attached,15486
1274,1941,1921-1945,single_detached,101715
1275,1941,1946-1960,total,0
1276,1941,1946-1960,apartments,0
1277,1941,1946-1960,mobile,0
1278,1941,1946-1960,single_attached,0
1279,1941,1946-1960,single_detached,0
1280,1941,1961-1970,total,0
1281,1941,1961-1970,apartments,0
1282,1941,1961-1970,mobile,0
1283,1941,1961-1970,single_attached,0
1284,1941,1961-1970,single_detached,0
1285,1941,1971-1980,total,0
1286,1941,1971-1980,apartments,0
1287,1941,1971-1980,mobile,0
1288,1941,1971-1980,single_attached,0
1289,1941,1971-1980,single_detached,0
1290,1941,1981-1990,total,0
1291,1941,1981-1990,apartments,0
1292,1941,1981-1990,mobile,0
1293,1941,1981-1990,single_attached,0
1294,1941,1981-1990,single_detached,0
1295,1941,1991-1995,total,0
1296,1941,1991-1995,apartments,0
1297,1941,1991-1995,mobile,0
1298,1941,1991-1995,single_attached,0
1299,1941,1991-1995,single_detached,0
1300,1941,1996-2000,total,0
1301,1941,1996-2000,apartments,0
1302,1941,1996-2000,mobile,0
1303,1941,1996-2000,single_attached,0
1304,1941,1996-2000,single_detached,0
1305,1941,2001-2005,total,0
1306,1941,2001-2005,apartments,0
1307,1941,2001-2005,mobile,0
1308,1941,2001-2005,single_attached,0
1309,1941,2001-2005,single_detached,0
1310,1941,2006-2010,total,0
1311,1941,2006-2010,apartments,0
1312,1941,2006-2010,mobile,0
1313,1941,2006-2010,single_attached,0
1314,1941,2006-2010,single_detached,0
1315,1941,2011-2015,total,0
1316,1941,2011-2015,apartments,0
1317,1941,2011-2015,mobile,0
1318,1941,2011-2015,single_attached,0
1319,1941,2011-2015,single_detached,0
1320,1941,2016-2020,total,0
1321,1941,2016-2020,apartments,0
1322,1941,2016-2020,mobile,0
1323,1941,2016-2020,single_attached,0
1324,1941,2016-2020,single_detached,0
1325,1941,2021-2025,total,0
1326,1941,2021-2025,apartments,0
1327,1941,2021-2025,mobile,0
1328,1941,2021-2025,single_attached,0
1329,1941,2021-2025,single_detached,0
1330,1951,0-2025,total,862599
1331,1951,0-2025,apartments,482401
1332,1951,0-2025,mobile,1302
1333,1951,0-2025,single_attached,36033
1334,1951,0-2025,single_detached,342863
1335,1951,1608-1920,total,361285
1336,1951,1608-1920,apartments,197322
1337,1951,1608-1920,mobile,15
1338,1951,1608-1920,single_attached,18555
1339,1951,1608-1920,single_detached,145392
1340,1951,1921-1945,total,305074
1341,1951,1921-1945,apartments,184063
1342,1951,1921-1945,mobile,90
1343,1951,1921-1945,single_attached,12239
1344,1951,1921-1945,single_detached,108680
1345,1951,1946-1960,total,196240
1346,1951,1946-1960,apartments,101014
1347,1951,1946-1960,mobile,1196
1348,1951,1946-1960,single_attached,5238
1349,1951,1946-1960,single_detached,88790
1350,1951,1961-1970,total,0
1351,1951,1961-1970,apartments,0
1352,1951,1961-1970,mobile,0
1353,1951,1961-1970,single_attached,0
1354,1951,1961-1970,single_detached,0
1355,1951,1971-1980,total,0
1356,1951,1971-1980,apartments,0
1357,1951,1971-1980,mobile,0
1358,1951,1971-1980,single_attached,0
1359,1951,1971-1980,single_detached,0
1360,1951,1981-1990,total,0
1361,1951,1981-1990,apartments,0
1362,1951,1981-1990,mobile,0
1363,1951,1981-1990,single_attached,0
1364,1951,1981-1990,single_detached,0
1365,1951,1991-1995,total,0
1366,1951,1991-1995,apartments,0
1367,1951,1991-1995,mobile,0
1368,1951,1991-1995,single_attached,0
1369,1951,1991-1995,single_detached,0
1370,1951,1996-2000,total,0
1371,1951,1996-2000,apartments,0
1372,1951,1996-2000,mobile,0
1373,1951,1996-2000,single_attached,0
1374,1951,1996-2000,single_detached,0
1375,1951,2001-2005,total,0
1376,1951,2001-2005,apartments,0
1377,1951,2001-2005,mobile,0
1378,1951,2001-2005,single_attached,0
1379,1951,2001-2005,single_detached,0
1380,1951,2006-2010,total,0
1381,1951,2006-2010,apartments,0
1382,1951,2006-2010,mobile,0
1383,1951,2006-2010,single_attached,0
1384,1951,2006-2010,single_detached,0
1385,1951,2011-2015,total,0
1386,1951,2011-2015,apartments,0
1387,1951,2011-2015,mobile,0
1388,1951,2011-2015,single_attached,0
1389,1951,2011-2015,single_detached,0
1390,1951,2016-2020,total,0
1391,1951,2016-2020,apartments,0
1392,1951,2016-2020,mobile,0
1393,1951,2016-2020,single_attached,0
1394,1951,2016-2020,single_detached,0
1395,1951,2021-2025,total,0
1396,1951,2021-2025,apartments,0
1397,1951,2021-2025,mobile,0
1398,1951,2021-2025,single_attached,0
1399,1951,2021-2025,single_detached,0
1400,1956,0-2025,total,1001264
1401,1956,0-2025,apartments,490798
1402,1956,0-2025,mobile,1089
1403,1956,0-2025,single_attached,116293
1404,1956,0-2025,single_detached,393084
1405,1956,1608-1920,total,352527
1406,1956,1608-1920,apartments,166677
1407,1956,1608-1920,mobile,6
1408,1956,1608-1920,single_attached,52349
1409,1956,1608-1920,single_detached,133493
1410,1956,1921-1945,total,297681
1411,1956,1921-1945,apartments,159687
1412,1956,1921-1945,mobile,41
1413,1956,1921-1945,single_attached,35464
1414,1956,1921-1945,single_detached,102487
1415,1956,1946-1960,total,351056
1416,1956,1946-1960,apartments,164432
1417,1956,1946-1960,mobile,1041
1418,1956,1946-1960,single_attached,28478
1419,1956,1946-1960,single_detached,157102
1420,1956,1961-1970,total,0
1421,1956,1961-1970,apartments,0
1422,1956,1961-1970,mobile,0
1423,1956,1961-1970,single_attached,0
1424,1956,1961-1970,single_detached,0
1425,1956,1971-1980,total,0
1426,1956,1971-1980,apartments,0
1427,1956,1971-1980,mobile,0
1428,1956,1971-1980,single_attached,0
1429,1956,1971-1980,single_detached,0
1430,1956,1981-1990,total,0
1431,1956,1981-1990,apartments,0
1432,1956,1981-1990,mobile,0
1433,1956,1981-1990,single_attached,0
1434,1956,1981-1990,single_detached,0
1435,1956,1991-1995,total,0
1436,1956,1991-1995,apartments,0
1437,1956,1991-1995,mobile,0
1438,1956,1991-1995,single_attached,0
1439,1956,1991-1995,single_detached,0
1440,1956,1996-2000,total,0
1441,1956,1996-2000,apartments,0
1442,1956,1996-2000,mobile,0
1443,1956,1996-2000,single_attached,0
1444,1956,1996-2000,single_detached,0
1445,1956,2001-2005,total,0
1446,1956,2001-2005,apartments,0
1447,1956,2001-2005,mobile,0
1448,1956,2001-2005,single_attached,0
1449,1956,2001-2005,single_detached,0
1450,1956,2006-2010,total,0
1451,1956,2006-2010,apartments,0
1452,1956,2006-2010,mobile,0
1453,1956,2006-2010,single_attached,0
1454,1956,2006-2010,single_detached,0
1455,1956,2011-2015,total,0
1456,1956,2011-2015,apartments,0
1457,1956,2011-2015,mobile,0
1458,1956,2011-2015,single_attached,0
1459,1956,2011-2015,single_detached,0
1460,1956,2016-2020,total,0
1461,1956,2016-2020,apartments,0
1462,1956,2016-2020,mobile,0
1463,1956,2016-2020,single_attached,0
1464,1956,2016-2020,single_detached,0
1465,1956,2021-2025,total,0
1466,1956,2021-2025,apartments,0
1467,1956,2021-2025,mobile,0
1468,1956,2021-2025,single_attached,0
1469,1956,2021-2025,single_detached,0
1470,1961,0-2025,total,1191368
1471,1961,0-2025,apartments,583983
1472,1961,0-2025,mobile,1296
1473,1961,0-2025,single_attached,138373
1474,1961,0-2025,single_detached,467716
1475,1961,1608-1920,total,357568
1476,1961,1608-1920,apartments,169841
1477,1961,1608-1920,mobile,4
1478,1961,1608-1920,single_attached,55621
1479,1961,1608-1920,single_detached,132100
1480,1961,1921-1945,total,301937
1481,1961,1921-1945,apartments,162766
1482,1961,1921-1945,mobile,30
1483,1961,1921-1945,single_attached,37692
1484,1961,1921-1945,single_detached,101447
1485,1961,1946-1960,total,517929
1486,1961,1946-1960,apartments,245114
1487,1961,1946-1960,mobile,1122
1488,1961,1946-1960,single_attached,44263
1489,1961,1946-1960,single_detached,227428
1490,1961,1961-1970,total,13934
1491,1961,1961-1970,apartments,6261
1492,1961,1961-1970,mobile,137
1493,1961,1961-1970,single_attached,796
1494,1961,1961-1970,single_detached,6738
1495,1961,1971-1980,total,0
1496,1961,1971-1980,apartments,0
1497,1961,1971-1980,mobile,0
1498,1961,1971-1980,single_attached,0
1499,1961,1971-1980,single_detached,0
1500,1961,1981-1990,total,0
1501,1961,1981-1990,apartments,0
1502,1961,1981-1990,mobile,0
1503,1961,1981-1990,single_attached,0
1504,1961,1981-1990,single_detached,0
1505,1961,1991-1995,total,0
1506,1961,1991-1995,apartments,0
1507,1961,1991-1995,mobile,0
1508,1961,1991-1995,single_attached,0
1509,1961,1991-1995,single_detached,0
1510,1961,1996-2000,total,0
1511,1961,1996-2000,apartments,0
1512,1961,1996-2000,mobile,0
1513,1961,1996-2000,single_attached,0
1514,1961,1996-2000,single_detached,0
1515,1961,2001-2005,total,0
1516,1961,2001-2005,apartments,0
1517,1961,2001-2005,mobile,0
1518,1961,2001-2005,single_attached,0
1519,1961,2001-2005,single_detached,0
1520,1961,2006-2010,total,0
1521,1961,2006-2010,apartments,0
1522,1961,2006-2010,mobile,0
1523,1961,2006-2010,single_attached,0
1524,1961,2006-2010,single_detached,0
1525,1961,2011-2015,total,0
1526,1961,2011-2015,apartments,0
1527,1961,2011-2015,mobile,0
1528,1961,2011-2015,single_attached,0
1529,1961,2011-2015,single_detached,0
1530,1961,2016-2020,total,0
1531,1961,2016-2020,apartments,0
1532,1961,2016-2020,mobile,0
1533,1961,2016-2020,single_attached,0
1534,1961,2016-2020,single_detached,0
1535,1961,2021-2025,total,0
1536,1961,2021-2025,apartments,0
1537,1961,2021-2025,mobile,0
1538,1961,2021-2025,single_attached,0
1539,1961,2021-2025,single_detached,0
1540,1966,0-2025,total,1389115
1541,1966,0-2025,apartments,719343
1542,1966,0-2025,mobile,2989
1543,1966,0-2025,single_attached,117501
1544,1966,0-2025,single_detached,549282
1545,1966,1608-1920,total,319739
1546,1966,1608-1920,apartments,134241
1547,1966,1608-1920,mobile,63
1548,1966,1608-1920,single_attached,43376
1549,1966,1608-1920,single_detached,142058
1550,1966,1921-1945,total,288982
1551,1966,1921-1945,apartments,158605
1552,1966,1921-1945,mobile,45
1553,1966,1921-1945,single_attached,33409
1554,1966,1921-1945,single_detached,96921
1555,1966,1946-1960,total,549932
1556,1966,1946-1960,apartments,292388
1557,1966,1946-1960,mobile,822
1558,1966,1946-1960,single_attached,31613
1559,1966,1946-1960,single_detached,225107
1560,1966,1961-1970,total,230462
1561,1966,1961-1970,apartments,134107
1562,1966,1961-1970,mobile,2058
1563,1966,1961-1970,single_attached,9101
1564,1966,1961-1970,single_detached,85194
1565,1966,1971-1980,total,0
1566,1966,1971-1980,apartments,0
1567,1966,1971-1980,mobile,0
1568,1966,1971-1980,single_attached,0
1569,1966,1971-1980,single_detached,0
1570,1966,1981-1990,total,0
1571,1966,1981-1990,apartments,0
1572,1966,1981-1990,mobile,0
1573,1966,1981-1990,single_attached,0
1574,1966,1981-1990,single_detached,0
1575,1966,1991-1995,total,0
1576,1966,1991-1995,apartments,0
1577,1966,1991-1995,mobile,0
1578,1966,1991-1995,single_attached,0
1579,1966,1991-1995,single_detached,0
1580,1966,1996-2000,total,0
1581,1966,1996-2000,apartments,0
1582,1966,1996-2000,mobile,0
1583,1966,1996-2000,single_attached,0
1584,1966,1996-2000,single_detached,0
1585,1966,2001-2005,total,0
1586,1966,2001-2005,apartments,0
1587,1966,2001-2005,mobile,0
1588,1966,2001-2005,single_attached,0
1589,1966,2001-2005,single_detached,0
1590,1966,2006-2010,total,0
1591,1966,2006-2010,apartments,0
1592,1966,2006-2010,mobile,0
1593,1966,2006-2010,single_attached,0
1594,1966,2006-2010,single_detached,0
1595,1966,2011-2015,total,0
1596,1966,2011-2015,apartments,0
1597,1966,2011-2015,mobile,0
1598,1966,2011-2015,single_attached,0
1599,1966,2011-2015,single_detached,0
1600,1966,2016-2020,total,0
1601,1966,2016-2020,apartments,0
